Outbound flights:
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=07:55, arrivalTime=09:35, price=91.76, tax=41.76]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=133.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=133.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=162.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=07:55, arrivalTime=09:35, price=100.76, tax=41.76]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=143.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=143.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=171.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=07:55, arrivalTime=09:35, price=213.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=48.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=90.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=07:55, arrivalTime=09:35, price=91.76, tax=41.76]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=133.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=133.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=162.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=58.07, tax=33.07]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=100.72, tax=56.72]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=07:55, arrivalTime=09:35, price=100.76, tax=41.76]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=143.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=143.29, tax=72.29]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=171.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=115.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=137.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=11:15, arrivalTime=12:55, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=15:25, arrivalTime=17:00, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=16:15, arrivalTime=17:50, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=18:20, arrivalTime=19:55, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=19:40, arrivalTime=21:15, price=139.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=13:20, arrivalTime=16:25, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=14:15, arrivalTime=18:30, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=16:45, arrivalTime=21:35, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=17:30, arrivalTime=21:35, price=161.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=null, arrivalAirport=LHR, departureTime=07:55, arrivalTime=09:35, price=213.24, tax=57.24]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=06:10, arrivalTime=09:20, price=281.36, tax=79.36]
